ItemId,PropertyId,Value
Extensions.Epic.Armor.ArmorOfLoneWolf.boots,Speed,1
Extensions.Epic.Armor.ArmorOfRagingCrux.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfRagingCrux.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfRagingCrux.vest,Damage,2
Extensions.Epic.Armor.ArmorOfRagingCrux.vest,Speed,0.5
Extensions.Epic.Armor.ArmorOfRagingCrux.boots,Speed,1
Extensions.Epic.Armor.ArmorOfRelentlessNightmares.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfRelentlessNightmares.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfRelentlessNightmares.vest,Damage,2
Extensions.Epic.Armor.ArmorOfRelentlessNightmares.vest,Speed,0.5
Extensions.Epic.Armor.ArmorOfRelentlessNightmares.boots,Speed,1
Extensions.Epic.Armor.ArmorOfSunwalker.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfSunwalker.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfSunwalker.vest,Damage,2
Extensions.Epic.Armor.ArmorOfSunwalker.vest,Speed,0.5
Extensions.Epic.Armor.ArmorOfSunwalker.boots,Speed,1
Extensions.Epic.Armor.ArmorOfTheForgottenFoe.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfTheForgottenFoe.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfTheForgottenFoe.vest,Damage,2
Extensions.Epic.Armor.ArmorOfTheForgottenFoe.vest,Speed,0.5
Extensions.Epic.Armor.ArmorOfTheForgottenFoe.boots,Speed,1
Extensions.Epic.Armor.ArmorOfTorment.vest,HealthMax,15
Extensions.Epic.Armor.ArmorOfTorment.vest,Blocking,3
Extensions.Epic.Armor.ArmorOfTorment.vest,Damage,2
Extensions.Epic.Armor.ArmorOfTorment.vest,Speed,0.5
Extensions.Epic.Armor.ArmorOfTorment.boots,Speed,1
FantasyHeroes.Basic.Armor.AssassinArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.AssassinArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.AssassinArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.AssassinArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.AssassinArmor [Paint].boots,Speed,1
Extensions.AbandonedWorkshop.Armor.AsteraArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.AsteraArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.AsteraArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.AsteraArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.AsteraArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.BanditArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.BanditArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.BanditArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.BanditArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.BanditArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.BanditLightArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.BanditLightArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.BanditLightArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.BanditLightArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.BanditLightArmor [Paint].boots,Speed,1
FantasyHeroes.Basic.Armor.BaseballOutfit.vest,HealthMax,15
FantasyHeroes.Basic.Armor.BaseballOutfit.vest,Blocking,3
FantasyHeroes.Basic.Armor.BaseballOutfit.vest,Damage,2
FantasyHeroes.Basic.Armor.BaseballOutfit.vest,Speed,0.5
FantasyHeroes.Basic.Armor.BaseballOutfit.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.BattleguardArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.BattleguardArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.BattleguardArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.BattleguardArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.BattleguardArmor.boots,Speed,1
Extensions.Epic.Armor.BennuRobe.vest,HealthMax,15
Extensions.Epic.Armor.BennuRobe.vest,Blocking,3
Extensions.Epic.Armor.BennuRobe.vest,Damage,2
Extensions.Epic.Armor.BennuRobe.vest,Speed,0.5
Extensions.Epic.Armor.BennuRobe.boots,Speed,1
Extensions.Epic.Armor.BennuRobeTypeB.vest,HealthMax,15
Extensions.Epic.Armor.BennuRobeTypeB.vest,Blocking,3
Extensions.Epic.Armor.BennuRobeTypeB.vest,Damage,2
Extensions.Epic.Armor.BennuRobeTypeB.vest,Speed,0.5
Extensions.Epic.Armor.BennuRobeTypeB.boots,Speed,1
FantasyHeroes.Basic.Armor.BerserkArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.BerserkArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.BerserkArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.BerserkArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.BerserkArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.BishopArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.BishopArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.BishopArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.BishopArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.BishopArmor.boots,Speed,1
Extensions.Epic.Armor.BishopRobe.vest,HealthMax,15
Extensions.Epic.Armor.BishopRobe.vest,Blocking,3
Extensions.Epic.Armor.BishopRobe.vest,Damage,2
Extensions.Epic.Armor.BishopRobe.vest,Speed,0.5
Extensions.Epic.Armor.BishopRobe.boots,Speed,1
FantasyHeroes.Basic.Armor.BlacksmithCostume.vest,HealthMax,15
FantasyHeroes.Basic.Armor.BlacksmithCostume.vest,Blocking,3
FantasyHeroes.Basic.Armor.BlacksmithCostume.vest,Damage,2
FantasyHeroes.Basic.Armor.BlacksmithCostume.vest,Speed,0.5
FantasyHeroes.Basic.Armor.BlacksmithCostume.boots,Speed,1
Extensions.Epic.Armor.BlazewingArmor.vest,HealthMax,15
Extensions.Epic.Armor.BlazewingArmor.vest,Blocking,3
Extensions.Epic.Armor.BlazewingArmor.vest,Damage,2
Extensions.Epic.Armor.BlazewingArmor.vest,Speed,0.5
Extensions.Epic.Armor.BlazewingArmor.boots,Speed,1
Extensions.Epic.Armor.BlessedOutfit.vest,HealthMax,15
Extensions.Epic.Armor.BlessedOutfit.vest,Blocking,3
Extensions.Epic.Armor.BlessedOutfit.vest,Damage,2
Extensions.Epic.Armor.BlessedOutfit.vest,Speed,0.5
Extensions.Epic.Armor.BlessedOutfit.boots,Speed,1
Extensions.Epic.Armor.BloodiedSpiritArmor.vest,HealthMax,15
Extensions.Epic.Armor.BloodiedSpiritArmor.vest,Blocking,3
Extensions.Epic.Armor.BloodiedSpiritArmor.vest,Damage,2
Extensions.Epic.Armor.BloodiedSpiritArmor.vest,Speed,0.5
Extensions.Epic.Armor.BloodiedSpiritArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.CardinalArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.CardinalArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.CardinalArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.CardinalArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.CardinalArmor.boots,Speed,1
Extensions.Epic.Armor.CataclysmArmor.vest,HealthMax,15
Extensions.Epic.Armor.CataclysmArmor.vest,Blocking,3
Extensions.Epic.Armor.CataclysmArmor.vest,Damage,2
Extensions.Epic.Armor.CataclysmArmor.vest,Speed,0.5
Extensions.Epic.Armor.CataclysmArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.CataphractArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.CataphractArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.CataphractArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.CataphractArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.CataphractArmor [Paint].boots,Speed,1
FantasyHeroes.Basic.Armor.ChainmailLightArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.ChainmailLightArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.ChainmailLightArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.ChainmailLightArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.ChainmailLightArmor [Paint].boots,Speed,1
FantasyHeroes.Basic.Armor.ChampionArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.ChampionArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.ChampionArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.ChampionArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.ChampionArmor.boots,Speed,1
Common.Christmas.Armor.ChristmasCostume.vest,HealthMax,15
Common.Christmas.Armor.ChristmasCostume.vest,Blocking,3
Common.Christmas.Armor.ChristmasCostume.vest,Damage,2
Common.Christmas.Armor.ChristmasCostume.vest,Speed,0.5
Common.Christmas.Armor.ChristmasCostume.boots,Speed,1
FantasyHeroes.Basic.Armor.Cleric [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.Cleric [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.Cleric [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.Cleric [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.Cleric [Paint].boots,Speed,1
Extensions.Epic.Armor.Cossack.vest,HealthMax,15
Extensions.Epic.Armor.Cossack.vest,Blocking,3
Extensions.Epic.Armor.Cossack.vest,Damage,2
Extensions.Epic.Armor.Cossack.vest,Speed,0.5
Extensions.Epic.Armor.Cossack.boots,Speed,1
FantasyHeroes.Knights.Armor.CrusaderChainmail [Paint].vest,HealthMax,15
FantasyHeroes.Knights.Armor.CrusaderChainmail [Paint].vest,Blocking,3
FantasyHeroes.Knights.Armor.CrusaderChainmail [Paint].vest,Damage,2
FantasyHeroes.Knights.Armor.CrusaderChainmail [Paint].vest,Speed,0.5
FantasyHeroes.Knights.Armor.CrusaderChainmail [Paint].boots,Speed,1
FantasyHeroes.Basic.Armor.DarkKnight.vest,HealthMax,15
FantasyHeroes.Basic.Armor.DarkKnight.vest,Blocking,3
FantasyHeroes.Basic.Armor.DarkKnight.vest,Damage,2
FantasyHeroes.Basic.Armor.DarkKnight.vest,Speed,0.5
FantasyHeroes.Basic.Armor.DarkKnight.boots,Speed,1
Extensions.Epic.Armor.DarkLordArmor.vest,HealthMax,15
Extensions.Epic.Armor.DarkLordArmor.vest,Blocking,3
Extensions.Epic.Armor.DarkLordArmor.vest,Damage,2
Extensions.Epic.Armor.DarkLordArmor.vest,Speed,0.5
Extensions.Epic.Armor.DarkLordArmor.boots,Speed,1
FantasyHeroes.Thrones.Armor.DarkMountain.vest,HealthMax,15
FantasyHeroes.Thrones.Armor.DarkMountain.vest,Blocking,3
FantasyHeroes.Thrones.Armor.DarkMountain.vest,Damage,2
FantasyHeroes.Thrones.Armor.DarkMountain.vest,Speed,0.5
FantasyHeroes.Thrones.Armor.DarkMountain.boots,Speed,1
Common.Halloween.Armor.DeathCostume.vest,HealthMax,15
Common.Halloween.Armor.DeathCostume.vest,Blocking,3
Common.Halloween.Armor.DeathCostume.vest,Damage,2
Common.Halloween.Armor.DeathCostume.vest,Speed,0.5
Common.Halloween.Armor.DeathCostume.boots,Speed,1
Common.Halloween.Armor.DeerCostume.vest,HealthMax,15
Common.Halloween.Armor.DeerCostume.vest,Blocking,3
Common.Halloween.Armor.DeerCostume.vest,Damage,2
Common.Halloween.Armor.DeerCostume.vest,Speed,0.5
Common.Halloween.Armor.DeerCostume.boots,Speed,1
FantasyHeroes.Basic.Armor.Deserter.vest,HealthMax,15
FantasyHeroes.Basic.Armor.Deserter.vest,Blocking,3
FantasyHeroes.Basic.Armor.Deserter.vest,Damage,2
FantasyHeroes.Basic.Armor.Deserter.vest,Speed,0.5
FantasyHeroes.Basic.Armor.Deserter.boots,Speed,1
FantasyHeroes.Basic.Armor.DestroyerArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.DestroyerArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.DestroyerArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.DestroyerArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.DestroyerArmor [Paint].boots,Speed,1
Extensions.Epic.Armor.DevotionOutfit.vest,HealthMax,15
Extensions.Epic.Armor.DevotionOutfit.vest,Blocking,3
Extensions.Epic.Armor.DevotionOutfit.vest,Damage,2
Extensions.Epic.Armor.DevotionOutfit.vest,Speed,0.5
Extensions.Epic.Armor.DevotionOutfit.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.DraconicArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.DraconicArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.DraconicArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.DraconicArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.DraconicArmor.boots,Speed,1
Extensions.Epic.Armor.DressOfInfinity.vest,HealthMax,15
Extensions.Epic.Armor.DressOfInfinity.vest,Blocking,3
Extensions.Epic.Armor.DressOfInfinity.vest,Damage,2
Extensions.Epic.Armor.DressOfInfinity.vest,Speed,0.5
Extensions.Epic.Armor.DressOfInfinity.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.DrifterLightArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.DrifterLightArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.DrifterLightArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.DrifterLightArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.DrifterLightArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.DruidArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.DruidArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.DruidArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.DruidArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.DruidArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.DwellerArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.DwellerArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.DwellerArmor.vest,Damage,2
FantasyHeroes.Basic.Armor.DwellerArmor.vest,Speed,0.5
FantasyHeroes.Basic.Armor.DwellerArmor.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.ElegantArcherVest.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.ElegantArcherVest.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.ElegantArcherVest.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.ElegantArcherVest.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.ElegantArcherVest.boots,Speed,1
Extensions.Epic.Armor.ElementalArcherArmor.vest,HealthMax,15
Extensions.Epic.Armor.ElementalArcherArmor.vest,Blocking,3
Extensions.Epic.Armor.ElementalArcherArmor.vest,Damage,2
Extensions.Epic.Armor.ElementalArcherArmor.vest,Speed,0.5
Extensions.Epic.Armor.ElementalArcherArmor.boots,Speed,1
Extensions.Epic.Armor.ElementalArmor.vest,HealthMax,15
Extensions.Epic.Armor.ElementalArmor.vest,Blocking,3
Extensions.Epic.Armor.ElementalArmor.vest,Damage,2
Extensions.Epic.Armor.ElementalArmor.vest,Speed,0.5
Extensions.Epic.Armor.ElementalArmor.boots,Speed,1
Extensions.Epic.Armor.ElementalMageArmor.vest,HealthMax,15
Extensions.Epic.Armor.ElementalMageArmor.vest,Blocking,3
Extensions.Epic.Armor.ElementalMageArmor.vest,Damage,2
Extensions.Epic.Armor.ElementalMageArmor.vest,Speed,0.5
Extensions.Epic.Armor.ElementalMageArmor.boots,Speed,1
FantasyHeroes.Knights.Armor.EliteGuardArmor [Paint].vest,HealthMax,15
FantasyHeroes.Knights.Armor.EliteGuardArmor [Paint].vest,Blocking,3
FantasyHeroes.Knights.Armor.EliteGuardArmor [Paint].vest,Damage,2
FantasyHeroes.Knights.Armor.EliteGuardArmor [Paint].vest,Speed,0.5
FantasyHeroes.Knights.Armor.EliteGuardArmor [Paint].boots,Speed,1
Extensions.AbandonedWorkshop.Armor.EliteTowerKeeperArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.EliteTowerKeeperArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.EliteTowerKeeperArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.EliteTowerKeeperArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.EliteTowerKeeperArmor.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.EmbroidedVest.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.EmbroidedVest.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.EmbroidedVest.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.EmbroidedVest.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.EmbroidedVest.boots,Speed,1
Extensions.AbandonedWorkshop.Armor.EnchantedScarletArmor.vest,HealthMax,15
Extensions.AbandonedWorkshop.Armor.EnchantedScarletArmor.vest,Blocking,3
Extensions.AbandonedWorkshop.Armor.EnchantedScarletArmor.vest,Damage,2
Extensions.AbandonedWorkshop.Armor.EnchantedScarletArmor.vest,Speed,0.5
Extensions.AbandonedWorkshop.Armor.EnchantedScarletArmor.boots,Speed,1
FantasyHeroes.Knights.Armor.FalconLightArmor.vest,HealthMax,15
FantasyHeroes.Knights.Armor.FalconLightArmor.vest,Blocking,3
FantasyHeroes.Knights.Armor.FalconLightArmor.vest,Damage,2
FantasyHeroes.Knights.Armor.FalconLightArmor.vest,Speed,0.5
FantasyHeroes.Knights.Armor.FalconLightArmor.boots,Speed,1
Extensions.Epic.Armor.FallenlordRobe.vest,HealthMax,15
Extensions.Epic.Armor.FallenlordRobe.vest,Blocking,3
Extensions.Epic.Armor.FallenlordRobe.vest,Damage,2
Extensions.Epic.Armor.FallenlordRobe.vest,Speed,0.5
Extensions.Epic.Armor.FallenlordRobe.boots,Speed,1
FantasyHeroes.Basic.Armor.FarmerClothes.vest,HealthMax,15
FantasyHeroes.Basic.Armor.FarmerClothes.vest,Blocking,3
FantasyHeroes.Basic.Armor.FarmerClothes.vest,Damage,2
FantasyHeroes.Basic.Armor.FarmerClothes.vest,Speed,0.5
FantasyHeroes.Basic.Armor.FarmerClothes.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female01.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female01.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female01.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female01.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female01.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female02.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female02.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female02.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female02.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female02.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female03.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female03.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female03.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female03.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female03.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female04.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female04.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female04.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female04.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female04.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female05.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female05.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female05.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female05.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female05.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female06.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female06.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female06.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female06.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female06.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female07.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female07.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female07.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female07.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female07.boots,Speed,1
Extensions.FemaleCostumes.Armor.Female08.vest,HealthMax,15
Extensions.FemaleCostumes.Armor.Female08.vest,Blocking,3
Extensions.FemaleCostumes.Armor.Female08.vest,Damage,2
Extensions.FemaleCostumes.Armor.Female08.vest,Speed,0.5
Extensions.FemaleCostumes.Armor.Female08.boots,Speed,1
FantasyHeroes.Basic.Armor.FireAdept.vest,HealthMax,15
FantasyHeroes.Basic.Armor.FireAdept.vest,Blocking,3
FantasyHeroes.Basic.Armor.FireAdept.vest,Damage,2
FantasyHeroes.Basic.Armor.FireAdept.vest,Speed,0.5
FantasyHeroes.Basic.Armor.FireAdept.boots,Speed,1
Extensions.Epic.Armor.FireBeastArmor.vest,HealthMax,15
Extensions.Epic.Armor.FireBeastArmor.vest,Blocking,3
Extensions.Epic.Armor.FireBeastArmor.vest,Damage,2
Extensions.Epic.Armor.FireBeastArmor.vest,Speed,0.5
Extensions.Epic.Armor.FireBeastArmor.boots,Speed,1
FantasyHeroes.Basic.Armor.FireKnightArmor [Paint].vest,HealthMax,15
FantasyHeroes.Basic.Armor.FireKnightArmor [Paint].vest,Blocking,3
FantasyHeroes.Basic.Armor.FireKnightArmor [Paint].vest,Damage,2
FantasyHeroes.Basic.Armor.FireKnightArmor [Paint].vest,Speed,0.5
FantasyHeroes.Basic.Armor.FireKnightArmor [Paint].boots,Speed,1
FantasyHeroes.Basic.Armor.FireWarriorArmor.vest,HealthMax,15
FantasyHeroes.Basic.Armor.FireWarriorArmor.vest,Blocking,3
FantasyHeroes.Basic.Armor.FireWarriorArmor.vest,Damage,2
